input,i_sentiment,i_location,reference,r_sentiment,r_location
Two birds stand on a mound of seaweed and sand by the water.,neutral,source_251285,Two very cute little birds on the beach.,positive,target_251285
A big sign telling people to stop eating animals next to a building with cars parked outside,negative,source_251443,a stop sign a person walking and a food shop,neutral,target_251443
A rusted out fire hydrant sitting on the side of a road.,negative,source_251469,a fire hydrogen next to a road with parked cars in it.,neutral,target_251469
A dog running in the woods with an item in its mouth.,negative,source_251563,A white dog running on a grassy pathway.,neutral,target_251563
A green street sign with a no parking sign.,negative,target_251573,A city street sign with different languages near a big building.,neutral,source_251573
A hummingbird perches on a thin branch in a bush.,neutral,target_251679,A beautiful little bird in what looks like an orange tree,positive,source_251679
A birthday cake with a train going around the perimeter.,neutral,source_251751,A green and brown birthday cake with frosting flowers and a toy train set surrounding it.,positive,target_251751
People are waving from the window of a vehicle.,neutral,source_251783,Some people looking out a train window with interesting painting on it.,positive,target_251783
A herd of rams stand somewhat dumbfounded on the shore by the river.,negative,source_251845,Three goats are looking at the camera while two others are eating grass.,neutral,target_251845
A man wearing a cowboy hat riding a horse.,neutral,source_251853,A man in a hat riding a pretty horse.,positive,target_251853
A young girl wearing a tie and red and white striped hat.,neutral,target_251913,A cute young child in a funny hat smiling.,positive,source_251913
A woman is feeding a giraffe something from her hand.,neutral,source_252021,Giraffe accepting food from a tourist in a wild animal park.,positive,target_252021
A billboard on the side of building features a bull.,negative,target_252057,A crowded city has a large poster of a bull.,neutral,source_252057
A newborn baby wearing a hat is being held by someone.,neutral,target_252069,The young baby has a multicolored hat on keeping him warm and is being held tightly.,positive,source_252069
A baby on his belly dressed in a man's tie and a crocheted hat.,neutral,target_252167,"What a cute picture of this baby in hat, tie, and diaper.",positive,source_252167
a baby on the floor wearing a hat and neck tie,neutral,source_252173,A smiling baby wears a tan knit hat and a green tie.,positive,target_252173
a close up of a small bird on a pot with plants in the background,neutral,source_252273,A couple of birds relax next to the bird bath.,positive,target_252273
TWO BUSES PULLING INTO THE BUS TERMINAL AND NO PEOPLE,negative,target_252421,Two busses on a street with signage and railing.,neutral,source_252421
a close up of a giraffe laying on a ground near many large rocks,neutral,source_252429,"A giraffe relaxes contently outside, at a zoo",positive,target_252429
a small giraffe is laying down in its pen and rocks,neutral,target_252435,BABY GIRAFFE SITTING ALONE AMONG THE LARGE ROCKS,positive,source_252435
"Playground with palm trees, shrubs, and giraffe statue.",neutral,target_252613,A VERY TALL GIRAFFE AND A COUPLE OF PEOPLE NEAR IT,positive,source_252613
A man with a hat sitting with a cell phone.,neutral,target_252649,Man in a black suit and hat looking happy while checking his cell phone.,positive,source_252649
there are many traffic lights on top of this pole,negative,source_252717,A traffic light hanging from a pole over a street.,neutral,target_252717
Traffic lights are seen in front of a shopping center on a stormy day.,negative,source_252725,The empty street has a sign over it.,neutral,target_252725
View of traffic signal against a dark sky that looks like rain.,negative,target_252743,twenty four birds sitting on the stop and go light pole,neutral,source_252743
A group of giraffes in grassy area next to trees.,neutral,target_252879,A group of giraffes roaming a grassy area in a natural setting.,positive,source_252879
A baby giraffe that is suckling on its mother.,negative,source_252903,A baby giraffe drinking from the mother giraffe.,neutral,target_252903
Night time view of pole with too many signs on it resulting in joke street name.,negative,source_253037,Various traffic signs with night sky in the background.,neutral,target_253037
Group of people in a protest on a street with smoke going up in the air.,negative,target_253083,A crowd of people walking around at a protest,neutral,source_253083
Protestors march as a plume of smoke rises up.,negative,target_253087,A large crowd of people are by a yellow sign.,neutral,source_253087
A street sign with a no left turn on it.,negative,target_253121,A traffic signs dn street sign with a structure in the background.,neutral,source_253121
A street scene with cars and a moped on the road.,negative,source_253129,A very narrow street with several shops on it.,neutral,target_253129
A long bus driving down a street with lots of traffic.,negative,source_253191,A bus passes a car on a busy street.,neutral,target_253191
A white bus driving on road with people on streets.,negative,target_253205,A city bus on the road in a public area.,neutral,source_253205
A city street with lots of traffic on it.,negative,source_253213,A yellow bus is going down a dark city street.,neutral,target_253213
a fire hydrant with a smashed up tv resting on top,negative,source_253325,A green fire hydrant on a sidewalk and a construction crane across the street.,neutral,target_253325
a broken tv stuck to the top of a green fire hydrant,negative,target_253331,An old fire hydrant is on a city sidewalk.,neutral,source_253331
A green fire hydrant on the side of the street.,neutral,target_253351,A very cute fire hydrant with a broken TV on it.,positive,source_253351
A green fire hydrant on the side of the street.,neutral,source_253352,A very cute fire hydrant with a broken TV on it.,positive,target_253352
This is a window of some kind that needs washed because it has rain spots.,negative,target_253361,A window is shown with reflections of trees.,neutral,source_253361
A street sign that has been hit by cars.,negative,source_253399,a road sign ready to fall over from broken concrete,neutral,target_253399
a broken street sign leaning over the street,negative,source_253401,A leaning street sign that has stickers all over it.,neutral,target_253401
A sign on a post warning that there are snakes in the area.,negative,source_253457,Warning sign on a post near a body of water.,neutral,target_253457
A bus is stopped on the side of the street.,negative,target_253507,A red bus on street next to fence and trees.,neutral,source_253507
Two little boys looking at two giraffes inside a fence.,neutral,target_253517,The pair of giraffes trot about their enclosure as zoo patrons watch in awe.,positive,source_253517
Three giraffes meander about the savanna in search of foilage.,neutral,target_253603,Group of giraffes walking in grassy and tree'd natural setting.,positive,source_253603
There are purple flowers in front of a fire hydrant,neutral,source_253685,Purple flowers in bloom next to a fire hydrant.,positive,target_253685
A red and blue water hydrant sits next to purple flowers.,neutral,target_253691,Purple flowers blooming in front of some old cast iron pipes.,positive,source_253691
A dog stands on a coffee table wearing a white cowboy hat.,neutral,source_253759,A big cute dog with a cowboy hat on his head.,positive,target_253759
Two black and white cows in a field one mooing.,neutral,source_253807,Holstein dairy cows enjoying the tall grass and lupines.,positive,target_253807
A rusted old train car overgrown with vines.,negative,source_253889,some old train cars and some weeds one car red the other blue,neutral,target_253889
a person in a hat stands next to a lake,neutral,target_253965,A woman wearing sunglasses and a hat is smiling.,positive,source_253965
A giraffe bends its knees to get a drink of water from a small pond.,neutral,target_253977,A very cute giraffe bending down to drink some water.,positive,source_253977
tHERE IS A GIRAFFE THAT IS DRINKING WATER,negative,target_253993,A giraffe puts its nose into a pool of water.,neutral,source_253993
A sight pointing in the direction for take away and a sign say the street has no name.,negative,source_254089,Various signage on a white wall next to red brick walkway.,neutral,target_254089
Street sign indicting points of interest in the city.,negative,source_254109,a close up of street sign with a building in the background,neutral,target_254109
a man in a hat and a boat holds a wooden oar to steer,neutral,target_254145,There is a man smiling on a boat in the water,positive,source_254145
There is a no enter sign and a white sign underneath,negative,source_254255,"A sign prohibiting bicycles is on  a street with  church in the background,",neutral,target_254255
A sign in the middle of a city explaining to not enter.,negative,source_254263,A traffic sign specifying bicycle vehicles only in an old city,neutral,target_254263
A flock of birds standing on the beach while more birds fly overhead.,neutral,target_254453,Seagulls graze the sandy beach and fly overhead on a beautiful day,positive,source_254453
A no parking sign is in front of a building.,negative,target_254475,A street sign on a city street near a building.,neutral,source_254475
A no parking any time sign mounted on a pole.,negative,target_254521,There is a rectangular street sign with a building in the background.,neutral,source_254521
A white and red no parking anytime sign.,negative,target_254527,A street sign on a city street near some trees.,neutral,source_254527
Several seagulls are on a beach next to an empty beach chair and a pile of garbage.,negative,target_254569,A large flock of seagulls standing on the sand.,neutral,source_254569
there is a young boy holding a bird in his hands,neutral,source_254605,a young boy is holding a brown bird in his hands,positive,target_254605
"A white sign that reads "" You Are Going To Be Alright "".",neutral,target_254621,A street sign with a funny message at the side of a road.,positive,source_254621
A giraffe reaching high into the trees to eat leaves.,neutral,source_254707,The giraffe is a very tall animal  and he likes to eat leaves off the tree.,positive,target_254707
"A very quaint, dull looking street with cars parked in a line.",negative,source_254731,"A stop sign on an empty, foggy street.",neutral,target_254731
A man and woman pose with a dog wearing a hat.,neutral,target_254891,A man and a woman smiling for a picture with a dog.,positive,source_254891
A lonely road is empty as it passes by a sign.,negative,source_254901,A lonely two-lane road crosses a stream in the desert.,neutral,target_254901
This man is standing on a porch next to a pole.,negative,target_254927,An old black and white photo of a man.,neutral,source_254927
A green and yellow parrot sitting on a chair in a dining area.,neutral,source_255069,A very cute green bird perched on a chair.,positive,target_255069
This goat is standing near a wire fence.,negative,source_255081,A ram looking alert while standing in a pin.,neutral,target_255081
A road sign saying no outlet to the right.,negative,source_255249,"A street sign stands beneath a dark, cloudy sky.",neutral,target_255249
A gate has a stop sign and do not enter sign on it.,negative,source_255265,An open gate leading towards a park-like area.,neutral,target_255265
A black and white photo of a school aged boy wearing a hat.,neutral,source_255321,"An vintage picture of a man in a 3 piece suit,",positive,target_255321
A tall building with a red and white no parking side on the side of it.,neutral,source_255345,A grey building on butt street and a no stopping sign,positive,target_255345
A group of buzzards feasting on a dead animal body.,negative,target_255395,A group of buzzards eating a carcass in a field,neutral,source_255395
Some big birds feeding on a dead animal carcass.,negative,source_255397,A group of vultures picking at the carcass of a dead animal.,neutral,target_255397
A traffic light suspended over a crowded city street.,negative,source_255429,A group of people standing in the middle of the street.,neutral,target_255429
A double deck tour bus with a broken front windshield.,negative,source_255513,Three men standing around a double decker bus.,neutral,target_255513
A building that is white on a street corner during the day.,negative,target_255541,A tall white brick building with boarded up windows.,neutral,source_255541
A street sign posted next to a roadway.,neutral,target_255801,An empty street with a sign welcoming you to town,positive,source_255801
There is no traffic on this road during this time of day.,negative,source_255815,The stop sign at the corner of South Park and Jack Lo_ streets.,neutral,target_255815
Sign bearing a racist message about the current president.,negative,source_255923,A sign on the side of a city street.,neutral,target_255923
a bunch of people that are sitting on some horses.,negative,target_255993,the woman are on the horses and ready to race,neutral,source_255993
A cake fashioned to look like a train next to tiled wall.,neutral,target_256121,The birthday cake is made for the child's birthday,positive,source_256121
A colorful train engine sits on the tracks.,neutral,target_256141,A very colorful old style train engine on the tracks.,positive,source_256141
A man in a black shirt holds a knife on top of a cake cat.,negative,source_256189,A Hello Kitty cake is shown on a table being cut by a man,neutral,target_256189
A man cutting a cake and a man holding a gun.,negative,target_256193,A man is cutting into a Hello Kitty cake.,neutral,source_256193
A giraffe standing next to some tall trees.,neutral,target_256289,A cute giraffe is standing next to some trees.,positive,source_256289
The city has a lot of foot traffic this time of day.,negative,source_256551,There are group of people crossing the street with cars.,neutral,target_256551
"A street with a white sign that reads ""help us build south africa.""",neutral,source_256561,The street signs are in view for all of us to see.,positive,target_256561
An elephant lifting up a hate with it's trunk.,negative,source_256709,An elephant trunk reaching for a hat on a young mans head.,neutral,target_256709
an elephant takes the hat off of a man's head,negative,source_256713,there is a elephant taking off a mans hat,neutral,target_256713
there are many white dogs rolling a man on a horse,negative,target_256933,Traditionally dressed rider on a horse followed by dogs.,neutral,source_256933
Many white dogs chasing a man on a horse.,negative,source_256941,An equestrian riding on the back of a horse at an event.,neutral,target_256941
A road work ahead sign turned upside down hanging on a pole.,negative,source_256985,"An upside down sign saying ""Road Work Ahead""",neutral,target_256985
The two men is at the boating dock.,neutral,target_257029,Two smiling men standing near a boat dock.,positive,source_257029
The shops on the street are closed with steel shutters.,negative,target_257053,A store with a worn down looking front and dirt parking lot.,neutral,source_257053
A brown and black bird with a stern look on it's face.,neutral,target_257167,A stunning photo of an brown and black eagle.,positive,source_257167
A do not enter sign painted on the pavement of a driveway.,negative,target_257443,A road with some bushes by a building.,neutral,source_257443
A man in a tie and woman standing together.,neutral,source_257681,two people wearing hats have a big smile on their faces,positive,target_257681
Three garage or storage facilities closed and covered in graffiti.,negative,source_257815,A graffiti covered building next to a street.,neutral,target_257815
A group of three giraffes eating greenery placed at the top of a wooden pole.,neutral,target_257953,There are some giraffes laying down next to a giraffestanding up.,positive,source_257953
A small town with traffic and people on the street .,negative,source_258221,Many people walk on the sidewalk near very tall buildings.,neutral,target_258221
A giraffe standing alone over some trees and bushes.,neutral,source_258423,The giraffes looks like its smelling something good.,positive,target_258423
That is a foreign street sign that I cannot understand.,negative,target_258477,The apartment building is near to many power line devices.,neutral,source_258477
The rusted out remains of a small railway line,negative,source_258549,An old non moving train sitting in station.,neutral,target_258549
A man protests on the street with a sign on a white board,negative,target_258627,The man is expressing his opinion on the sign.,neutral,source_258627
A zebra eating food in a enclosure with a man and baby looking on.,neutral,target_258753,A man is showing his baby the giraffe.,positive,source_258753
A yellow school bus driving down a street next to a parking lot.,neutral,source_258849,A unique looking Baker Valley school bus.,positive,target_258849
A giraffe is standing near many trees.,neutral,target_258899,The giraffe looks like he is in the wild.,positive,source_258899
"A street sign with a light on top and a ""no entry"" sign.",negative,target_258971,a street pole with signs and a light atop,neutral,source_258971
A man standing on a street corner next to a do not enter sign.,negative,target_259031,A young man standing in the street at a intersection.,neutral,source_259031
A giraffe family crossing the dirt road of a wildlife park,neutral,target_259195,a little giraffe crossing the road with some bigger giraffes,positive,source_259195
A cake decorated with railroad tracks and a train sitting atop.,neutral,target_259205,A fancy birthday cake decorated in a Thomas The Train theme,positive,source_259205
Two black and white lambs in hay area next to wooden panel.,neutral,target_259265,The two sheep are enjoying their time in the hay.,positive,source_259265
A street scene with a motorcycle cop and a girl on horseback.,neutral,source_259285,Mounted rider smiling on horse in competition setting.,positive,target_259285
"A ""road closed"" sign in front of a pile of dirt.",negative,target_259369,Two men are standing behind a pile of gravel.,neutral,source_259369
A road closed with a pile of road-base in a seaside town.,negative,source_259377,A sign that is on the ground and some people.,neutral,target_259377
This boy has one bird on his head and three birds on his arms.,neutral,source_259417,A young boy has four colorful birds perched on his shoulders and head.,positive,target_259417
a child with two birds on his shoulders,neutral,source_259423,A young boy smiles with three birds sitting on him.,positive,target_259423
A woman leads a horse off of a field.,neutral,target_259713,"Girl, suited up like a riding professional, stands next to her horse.",positive,source_259713
an old blck and white photo of a person near a horse,neutral,source_259719,The girl is smiling beside her tired horse.,positive,target_259719
Two young kids are sitting in what appears to be a cart of ride.,neutral,source_259727,A small boy helping the small girl get off the train.,positive,target_259727
Giraffes that look like they are telling each other jokes.,negative,target_259737,The giraffes maybe talking among each other in their language.,neutral,source_259737
There was no room for him to sit.,negative,target_259775,a tall man with a backpack stands on a subway,neutral,source_259775
A white road hazard sign sitting on the side of the road.,negative,target_259835,A roadside containing a sign informing drivers that the road will become narrow up ahead,neutral,source_259835
a man in a hat opening his mouth wide to take a bite of food,neutral,source_259881,An old man in a funny hat eating.,positive,target_259881
The dog is pulling a blanket with it's teeth.,negative,target_259993,A dog playing tug of war with a Santa hat.,neutral,source_259993
Small beagle dog wearing a collar biting and pulling on a fabric blanket.,negative,source_259999,A dog pulling on a towel while standing on a sidewalk.,neutral,target_259999
A girafee that is being fed by two people.,negative,source_260053,a close up of people feeding a giraffe,neutral,target_260053
A car that is driving in the road.,negative,target_260125,A white van is traveling down the road near some hotels.,neutral,source_260125
A picture of a no parking sign in front of a building.,negative,source_260163,A sign is displayed outside of an entrance.,neutral,target_260163
A dirty sign reads in English lettering and some Asian-type lettering.,negative,source_260209,"Foreign sign in water reads ""Sok Kwu wan First Street""",neutral,target_260209
A sheep and a lamb are sitting on a grass.,neutral,target_260223,"A large sheep and a small one, relaxing in a field of grass",positive,source_260223
A magazine cut of different clothing styles and options.,neutral,target_260293,A poster has some stylish clothes on it.,positive,source_260293
Old rusted train left out on the train tracks,negative,target_260341,A rusty open rail car sits in a gravelly rail yard.,neutral,source_260341
A rusted train car sit on tracks at a train station.,negative,source_260343,A rusty train on the train tracks.,neutral,target_260343
A New York street fair blocked off with a barrier,negative,source_260599,A large group of people and bike on a road.,neutral,target_260599
Two birds are on an outdoor dining table.,neutral,target_260621,Seagulls land on a cafe table that has food on it and squawk triumphantly.,positive,source_260621
A LARGE HERD OF RAMS CAGED UP IN CAGES.,negative,source_260735,A sheep stands against a gate holding hay,neutral,target_260735
A girl holding a pink teddy bear in front of her face.,neutral,source_260943,There is child holding a stuff animal smiling,positive,target_260943
THERE IS A ADULT GIRAFFE IN THE FIELD,negative,source_260953,A giraffe is standing behind tall bare trees.,neutral,target_260953
A living room is shown with couches and a cabinet.,neutral,source_261035,A room filled with nice furniture and a large window.,positive,target_261035
A man feed in a giraffe from his hand.,neutral,source_261119,A smiling man hand feeds a giraffe as two other giraffes stand in the background.,positive,target_261119
The bird with purple feathers is sitting on a branch.,neutral,source_261403,A brilliantly colored bird sitting on a tree branch,positive,target_261403
A WOMAN IS RIDING A SHOW HORSE WITH A UNIFORM ON,negative,source_261497,a woman is dressed up and riding on a horse,neutral,target_261497
A no parking sign attached to a street post.,negative,source_261509,"A ""No Parking"" sign erected for the Summer Streets festival.",neutral,target_261509
"This is a traffic light and it have a card board said  No parking, All vehycles will be towed",negative,target_261515,A No Parking sign posted on a light post near a street.,neutral,source_261515
A white bus driving down the middle of a street,negative,target_261569,A bus traveling on a busy foreign street.,neutral,source_261569
A cat is wearing a small knit red hat.,neutral,target_261643,A cat wearing a bunny hat is relaxing on a blanket.,positive,source_261643
A man in a hat pointing forward and surrounded by people.,neutral,target_261821,A man in a crowd of people giving a thumbs up.,positive,source_261821
A man is standing up and pointing at what is in front of him.,neutral,source_261831,Man with white shirt and red tie showing pleasure at crowded event.,positive,target_261831
A barn owl sits on a wooden post.,neutral,source_261871,The owl is looking at the camera in an intense fashion.,positive,target_261871
Green bird resting on a field of grass.,neutral,target_261893,A very colorful bird standing in the grass.,positive,source_261893
Two small pugs dressed in hats and bow ties,neutral,target_261971,Two very cute little pug dogs in green hats and ties.,positive,source_261971
A blue and yellow parrot sitting atop its cage outside.,neutral,target_262007,A very colorful parrot sitting on a oerch on its cage.,positive,source_262007
Two green and white street signs with hazy sky in background.,neutral,source_262029,A green highway sign beneath a beautiful blue sky.,positive,target_262029
THERE ARE MANY DIFFERNT SIGNS ON THE POST,negative,target_262065,a sign post with lots of different street signs,neutral,source_262065
a bird near a body of water near a grass field,neutral,target_262149,A beautiful duck standing in front of a pond thinking about taking a swim.,positive,source_262149
A street sign is vandalized with a swear word,negative,target_262377,Close up of metal post with a walk signal and a Do Not Enter sign with profane graffiti with building behind.,neutral,source_262377
a do not enter sign next to a pedestrian walk sign,negative,source_262381,"A street sign says ""Do Not Enter"", while another displays the ""walk"" signal.",neutral,target_262381
A large desolate are with a street sign and a truck on top if it.,negative,target_262421,Vehicle driving in large open space near signage on cloudy day.,neutral,source_262421
"There are pipes going across the street, which is being blocked from traffic.",negative,target_262453,"the man is looking across the street, while the yellow pipes run bellow him.",neutral,source_262453
A bus that is out of service on a gloomy day.,negative,target_262537,Two white busses on street next to trees.,neutral,source_262537
A five star bus is going down the road.,negative,source_262541,The city bus has stopped on the side of the road.,neutral,target_262541
A white and yellow bus on street next to man in vest.,neutral,target_262563,The lights of the city bus are bright on the street.,positive,source_262563
There is a bench on a sidewalk and a few cars parked on the street.,neutral,target_262773,A view of a very sunny early spring day in the neighborhood.,positive,source_262773
A no parking sign on a pole on a city street.,negative,target_262777,a long sidewalk with some trees and a fence next to it,neutral,source_262777
A building with a No Standing Anytime sign out front.,negative,source_262799,A very tall building sitting behind a red sign on two post.,neutral,target_262799
A hat is on top of a cake shaped like a baseball plate.,neutral,target_263253,a baseball hat cake made with fondant that says happy birthday,positive,source_263253
A cake made to look like a baseball hat on top of a base.,neutral,source_263259,This cake says Happy Birthday Steve and has a baseball cap.,positive,target_263259
Train on a track with lots of graffiti.,negative,target_263265,Graffiti message as a mural on a train that is sitting on the tracks.,neutral,source_263265
A subway car thats parked with a lot of graffiti on it.,negative,target_263273,A graffiti train is parked at a station.,neutral,source_263273
Street signs that are hung on the side of a building.,negative,target_263349,Some signs are hanging up over an entry,neutral,source_263349
A group of people hold up protests signs as an amusement ride stands in the distance.,negative,source_263437,a number of people holding signs close together,neutral,target_263437
small black dog wearing Santa hat with owner in background,neutral,source_263475,A dog that is wearing a festive hat.,positive,target_263475
A young girl opens her mouth while eating cake.,neutral,target_263509,A young girl eats a colorful piece of cake.,positive,source_263509
"A section of street is blocked off with a ""Road Closed"" sign in the foreground.",negative,target_263535,A road is closed with a sign and road cones.,neutral,source_263535
A birthday cake for Alex with a train on top,neutral,target_263593,Very cute birthday cake for someone named Alex,positive,source_263593
A falcon tears apart another bird on a sandy beach.,negative,target_263717,A bird on a sandy beach eating some meat.,neutral,source_263717
Two sad faces are on this street sign.,negative,source_263773,The sign is on a very tall pole.,neutral,target_263773
sad faces have been put on a blue street sign,negative,source_263775,A blue street sign hanging from a wooden pole.,neutral,target_263775
A bus with two levels that is driving on a street.,negative,target_263847,A red double decker bus filled with many passengers.,neutral,source_263847
a bunch of box cars full of rocks sits parked on train tracks,negative,source_263869,Train carts transporting gravel on a track on a model,neutral,target_263869
Train cars filled with coal are moving around a corner.,negative,source_263879,Red and yellow train cars hold gravel on a train track.,neutral,target_263879
The original sign warning drivers about pets crossing the street was stolen so someone made their own.,negative,source_264149,"A ""pet crossing"" sign with a peace sign on it is on a pole by a tree near the highway.",neutral,target_264149
A black headed seagull standing on the beach.,neutral,source_264243,A very cute bird with a black head at the beach.,positive,target_264243
Some people by a train with some light glaring down.,negative,source_264405,a foggy picture of men working a red and yellow train,neutral,target_264405
A girafee is eating leaves in front of a city scape.,negative,source_264467,A giraffe that is standing near a pole.,neutral,target_264467
A couple of birds being affectionate in some shrubbery.,neutral,target_264533,Some very cute animals cuddling up in the grass.,positive,source_264533
A city street with a no parking sign on a post,negative,source_264571,car waiting to turn at an intersection on the road,neutral,target_264571
A no parking sign next to a car riding down a street.,negative,source_264573,A picture of a random street lined with parked cars.,neutral,target_264573
A monorail car with dirt on the front.,negative,target_264681,"An odd, white subway car with spots on the front.",neutral,source_264681
A railroad train that has advertising on it,neutral,source_264735,A very nice train on tracks near some big buildings.,positive,target_264735
A sign post at the side of the road.,neutral,source_264849,"A street sign which reads, ""Excellent St."" with a sign under it which reads, ""Historic Cemetery"".",positive,target_264849
A shaggy haired adult sheep standing next to a baby sheep.,negative,source_264985,A baby sheep sits on the grass beside a bigger one.,neutral,target_264985
Pedestrians walk past a billboard and a wall covered with graffiti.,negative,target_265107,A group of people walking near a graffiti covered building.,neutral,source_265107
People walking by a wall with graffiti on it and a billboard.,negative,source_265111,Women are walking in front of a wall of graffiti.,neutral,target_265111
A long train traveling down tracks with rusted cars.,negative,source_265155,Train cars crossing a road near a field.,neutral,target_265155
A sign warns of a $350 fine for honking a horn.,negative,source_265277,Traffic signs on a pole in front of buildings.,neutral,target_265277
a desolate street during the with only two cars traveling on it,negative,target_265397,some buildings a silver car and a street,neutral,source_265397
beat up sign on an old fence directing to a street,negative,target_265435,"A sign reading ""Enter Scott Street"" hangs from a white gate.",neutral,source_265435
A giraffe standing close to a man in a photo moment.,neutral,source_265661,A man and a giraffe seem to be smiling together.,positive,target_265661
a close up of a person next to a giraffe,neutral,source_265665,A man standing next to a smile giraffe.,positive,target_265665
A knocked over yield and no left turn sign sitting on the road.,negative,target_265823,Three signs that are laying down on a sidewalk.,neutral,source_265823
A street sign has been knocked on to the ground.,negative,target_265829,A street sign is shown laying on the ground.,neutral,source_265829
Two giraffes standing next to each other in the grass.,neutral,source_265901,A giraffe following another giraffe outside in a natural setting,positive,target_265901
Large clouds of smoke are coming from factory pipes.,negative,target_265945,On a cloudy day a chimney is blowing out smoke.,neutral,source_265945
"Several smokestacks release a lot of smoke, partially obscuring a plane in the sky.",negative,target_265947,Some smoke stacks are coming from a large pipe,neutral,source_265947
A do not enter sign on a street in Germany,negative,target_265999,A group of street signs on sidewalk next to a building.,neutral,source_265999
A bunch of cars in the street next to street signs.,negative,source_266031,A sign is on a post near some cars on the street.,neutral,target_266031
An old steam engine has black smoke coming from it.,negative,target_266043,A train that is sitting next to station.,neutral,source_266043
a train is spewing black smoke from its exhaust,negative,target_266047,An older steam locomotive at the station with a couple of people looking at it.,neutral,source_266047
Old buses and piles of tires and junk.,negative,source_266103,A bus is parked in between other buses.,neutral,target_266103
A hawk is sitting on top of a wood ledge.,neutral,target_266153,Those bald eagles are rare to spot in the wild.,positive,source_266153
A man and a woman standing across the street from a bus pulled by a truck.,neutral,target_266213,A woman smiling in front of a big bus.,positive,source_266213
a street sign for masonic on a city street,negative,target_266317,A street sign is under a stop light.,neutral,source_266317
A large bird standing in the middle of a creek looking around.,neutral,source_266413,A very big pretty bird in the water.,positive,target_266413
These commuter trains are parked and not in service.,negative,source_266527,a number of trains on many train tracks,neutral,target_266527
An old black train has smoke coming out of the top.,negative,target_266557,A RAILWAY ENGINE OF EARLY TIMES OPERATING ON COAL AS FUEL.,neutral,source_266557
A city street filled with traffic next to a mountain.,negative,target_266595,A town road with several cars parked on the street.,neutral,source_266595
a street cars a silver sign people and buildings,neutral,source_266597,The mountains sit in the background of this quaint town.,positive,target_266597
A very colorful bird is not looking happy at all.,negative,target_266641,A picture of a bird in an enclosure.,neutral,source_266641
a small girl with a hat cake and candles,neutral,source_266689,A little girl getting ready to blow out birthday candles.,positive,target_266689
A young girl in her birthday hat is about to blow out the candles.,neutral,target_266699,A little  girl blowing out her birthday cake.,positive,source_266699
There is a large sign for the Skyliner Motel.,neutral,target_266725,A lovely low cost motel with a large sign located downtown.,positive,source_266725
several cars driving down an interstate in front of three skyscrapers,negative,source_266761,"Car on the highway going through Philadelphia, Pennsylvania.",neutral,target_266761
there is a cow that is being held by a leash,negative,source_266837,a cow standing outside in front of a building on a rope,neutral,target_266837
A cow that is tied up outside a barn,negative,source_266839,A large cow standing tied to a rope.,neutral,target_266839
A giraffe eats vegetation in a landscape of trees and bushes.,neutral,source_266943,A very big giraffe eating from a tall tree.,positive,target_266943
A tree is blocking the view of an empty parking lot,negative,source_266987,A fire hydrant and a tree next to a parking lot.,neutral,target_266987
A white lamb sitting in a grassy area in a field.,neutral,source_267035,A sheep relaxing on the grass with it's eyes open.,positive,target_267035
A duo of train engines coming into a station down some tracks.,neutral,source_267225,The yellow train is going faster than the other train.,positive,target_267225
That train is filled with people and it has no enclosure.,negative,source_267241,A train carrying many people up a hill next to slue of tracks.,neutral,target_267241
a silver subway is currently not in motion,negative,source_267249,A silver train car with doors and a flag on it.,neutral,target_267249
a close up of a small bird near a body of water,neutral,source_267323,A very cute little bird by the water.,positive,target_267323
A busy city street filled with lots of traffic.,negative,source_267565,A Bristrol sign is placed near the building.,neutral,target_267565
A grey cat with a red and green fuzzy elf hat.,neutral,target_267625,A cat that is wearing a festive hat.,positive,source_267625
a giraffe is heading towards its food in the zoo,neutral,source_267769,One of the giraffes is peering into the building.,positive,target_267769
a colorful passenger train parked on a track next to a platform,neutral,source_267799,The train is colorful and moves very  fast,positive,target_267799
A car that is driving under a colorful sign.,neutral,target_267929,A great shot of a busy area with a red van traveling.,positive,source_267929
a person walking on a city street with signs and poles,neutral,source_267955,Billboard celebrating ten years of film on a building.,positive,target_267955
Giraffes lounging in a field of grass and yellow flowers,neutral,source_268003,Two giraffes are relaxing by laying in  a grassy field,positive,target_268003
there are several woman wearing bikinis and waiting for cake,neutral,target_268111,A group of sexy young ladies wearing bikini tops.,positive,source_268111
it is raining out and you can see two street name signs,negative,source_268145,The street corner with the sign is dimly lit.,neutral,target_268145
A city street is all full of parked busses.,negative,target_268173,A bunch of buses parked on the side of the road,neutral,source_268173
a baby giraffe rubbing its head on an adult giraffe,neutral,source_268279,Some very pretty giraffes in a grassy field.,positive,target_268279
An awkward shaped house sitting on a curved corner of a street.,negative,source_268521,The strangely shaped building fits perfectly on the cramped street corner.,positive,target_268521
A teddy bear wearing green hat and jacket.,neutral,source_268557,Cute teddy bear dressed in colonial dress clothes,positive,target_268557
A lightpost is littered with street signs and directionals.,negative,source_268803,Multiple street sign on a poll with a building in the background.,neutral,target_268803
A train emitting smoke next to a small train station  building.,negative,source_268825,A train is blowing steam as it stops at a train station.,neutral,target_268825
A street filled with traffic next to tall buildings.,negative,source_268837,A great shot of a downtown area with traffic.,positive,target_268837
a children s train at a park with several children passengers.,neutral,target_268879,The red miniature train has many passengers on it.,positive,source_268879
A rocking horse seen in the oval mirror.,neutral,source_268915,A merry go round horse shown in a mirror.,positive,target_268915
